,1:2:5,3:4,7:6
Signature.1,0.0828614767944,0.0145045096296,0.0
Signature.2,0.0,0.0394330780466,0.0
Signature.3,0.0,0.11293817094,0.0
Signature.4,0.0649286734239,0.0,0.0479451032511
Signature.5,0.0678722155762,0.0,0.0
Signature.6,0.0,0.0,0.398344148149
Signature.7,0.0,0.0945748907271,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0944003237317,0.0
Signature.10,0.0,0.0,0.0252531972276
Signature.11,0.0,0.0235289150552,0.260822557201
Signature.12,0.0,0.0,0.0
Signature.13,0.0297906217811,0.0482370632868,0.0
Signature.14,0.0,0.0699227635461,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0268579379514,0.0200266216729,0.0
Signature.17,0.0644330333094,0.0,0.0
Signature.18,0.260965622646,0.0,0.0504374484572
Signature.19,0.0124061100562,0.0,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0142676355089
Signature.22,0.0,0.0,0.0
Signature.23,0.125637493708,0.187232278935,0.0
Signature.24,0.0451553916875,0.154202629398,0.0
Signature.25,0.0800677396931,0.0,0.012694455413
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0171283479334,0.0
Signature.28,0.0330421800983,0.110485866675,0.0
Signature.29,0.0277745614894,0.0,0.135996888285
Signature.30,0.078206941786,0.0133845404224,0.0542385665076
