,1:2:5,3:4,7,6
Signature.1,0.027091344351,0.0,0.0,0.0
Signature.2,0.206217888134,0.0163246076174,0.0926434530887,0.0
Signature.3,0.018602970755,0.0,0.0,0.0311787929078
Signature.4,0.0114188261424,0.211312585606,0.0,0.188227263191
Signature.5,0.0,0.0,0.0157517196532,0.073457445281
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.13158860947,0.0292012064014,0.0,0.0
Signature.8,0.0,0.0,0.111682273974,0.109340088209
Signature.9,0.128077851659,0.0,0.0,0.0
Signature.10,0.053299044742,0.0,0.0781394505191,0.0143256395155
Signature.11,0.0,0.0704341986327,0.0,0.0
Signature.12,0.0,0.387795554857,0.0,0.0
Signature.13,0.0504696362433,0.0,0.0158307882126,0.264086856038
Signature.14,0.0753796277326,0.0289812286946,0.0717619252301,0.0377422862511
Signature.15,0.0,0.0,0.0439749490723,0.177615434135
Signature.16,0.0542823081924,0.0416454155816,0.0305666938578,0.067712321352
Signature.17,0.110411569664,0.0,0.195607249617,0.0
Signature.18,0.0,0.0,0.0176980881543,0.0
Signature.19,0.0,0.0,0.0295259284043,0.0
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0153880333705,0.0
Signature.22,0.0,0.0,0.0,0.0
Signature.23,0.0423007142491,0.0,0.0505993032347,0.0
Signature.24,0.0,0.0303306542437,0.180655125934,0.0
Signature.25,0.0538071033489,0.0,0.0127986097157,0.0
Signature.26,0.0,0.0,0.0373764079615,0.0363138731198
Signature.27,0.0,0.183974548365,0.0,0.0
Signature.28,0.0,0.0,0.0,0.0
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0370525053168,0.0,0.0,0.0
