,1:3:2:7:6,5:4
Signature.1,0.0398283735367,0.0281890758761
Signature.2,0.0,0.0438376003185
Signature.3,0.0128779111973,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0104070660185,0.0
Signature.7,0.0220766158548,0.0454392370827
Signature.8,0.0257196030214,0.0
Signature.9,0.0,0.022724558535
Signature.10,0.0,0.0
Signature.11,0.0,0.0
Signature.12,0.0,0.0703900429744
Signature.13,0.0,0.256616470268
Signature.14,0.0,0.0
Signature.15,0.0,0.052087355168
Signature.16,0.0,0.0
Signature.17,0.0689041809437,0.0266054959395
Signature.18,0.0,0.0401655729009
Signature.19,0.0,0.0
Signature.20,0.0771225997298,0.226818245542
Signature.21,0.0103995811397,0.0971657519753
Signature.22,0.0134427069008,0.0
Signature.23,0.102169388861,0.0302520444139
Signature.24,0.0,0.0212593957273
Signature.25,0.0,0.0
Signature.26,0.335084984621,0.0384491532786
Signature.27,0.021275938276,0.0
Signature.28,0.026774345166,0.0
Signature.29,0.21028291789,0.0
Signature.30,0.0236337868431,0.0
