,11:10:1:2:5:9:8,3:4,7:6
Signature.1,0.0,0.0,0.0
Signature.2,0.119764397636,0.0,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0671227232573,0.117358047307,0.0
Signature.7,0.0435655456276,0.0505012541184,0.249542271523
Signature.8,0.0150200773066,0.0,0.0771947689157
Signature.9,0.057854930698,0.0,0.022584024307
Signature.10,0.0,0.0200219862454,0.0
Signature.11,0.0736741377248,0.0,0.0155117122645
Signature.12,0.0,0.0,0.0
Signature.13,0.0464377164641,0.0864745391222,0.0212279260533
Signature.14,0.0,0.0,0.0753548654738
Signature.15,0.103175665233,0.18834050687,0.0300160713263
Signature.16,0.0,0.0338565122792,0.0
Signature.17,0.0834783411319,0.0211160573913,0.0
Signature.18,0.0,0.0,0.0125760769158
Signature.19,0.0208033446865,0.0,0.0
Signature.20,0.0,0.0,0.108062417618
Signature.21,0.040145488005,0.146672160119,0.0198698125258
Signature.22,0.0,0.104044456136,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0,0.0
Signature.26,0.131852108334,0.0538954793312,0.0
Signature.27,0.0663522934393,0.17771900108,0.037549959103
Signature.28,0.0,0.0,0.0
Signature.29,0.0340858134361,0.0,0.269124236263
Signature.30,0.0966674170191,0.0,0.0613858577116
