,1:3:5:4:7:6,2,9:8
Signature.1,0.0,0.0,0.0114547871605
Signature.2,0.0,0.0134491761494,0.0
Signature.3,0.0343702706924,0.0924260193412,0.0
Signature.4,0.0,0.0,0.019033363687
Signature.5,0.086634832545,0.0756292084138,0.017440621454
Signature.6,0.0,0.0,0.0
Signature.7,0.0500941684981,0.0496380481541,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.154450593364,0.0,0.0
Signature.11,0.0238121843638,0.097400952372,0.0810531568314
Signature.12,0.0,0.0210835111714,0.0194073692488
Signature.13,0.152113452432,0.0,0.0
Signature.14,0.0,0.0154821739951,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0122745752317,0.0,0.0
Signature.17,0.015326151311,0.131960647982,0.0892425427803
Signature.18,0.0,0.273176143465,0.0
Signature.19,0.0,0.0,0.0
Signature.20,0.0,0.0158466485532,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0216853588861,0.0,0.0911424041989
Signature.23,0.139257012055,0.0110071786906,0.020116393486
Signature.24,0.0428604484679,0.0,0.180749487624
Signature.25,0.0150290512718,0.0,0.0
Signature.26,0.0,0.0,0.470359873529
Signature.27,0.119153096306,0.0,0.0
Signature.28,0.0138927489878,0.167757467995,0.0
Signature.29,0.0165157949556,0.0209755736979,0.0
Signature.30,0.102530260632,0.0141672500192,0.0
