,1:3:2:7:6,5:4
Signature.1,0.0,0.0250215922324
Signature.2,0.262747633984,0.013724418404
Signature.3,0.0159340846406,0.0785298686284
Signature.4,0.0,0.0
Signature.5,0.0765308383992,0.0
Signature.6,0.0914869673963,0.0
Signature.7,0.0,0.0
Signature.8,0.0659413454165,0.0
Signature.9,0.0390601141807,0.0396255178542
Signature.10,0.0,0.0204187607211
Signature.11,0.0,0.0
Signature.12,0.0,0.0
Signature.13,0.0,0.0154815851139
Signature.14,0.0,0.0
Signature.15,0.0,0.0
Signature.16,0.0117142418142,0.0
Signature.17,0.0617079401888,0.0
Signature.18,0.0,0.179872145209
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0125410022612,0.360066344717
Signature.22,0.0,0.0
Signature.23,0.0468207874274,0.0746014569612
Signature.24,0.0437143757307,0.0941897770636
Signature.25,0.0,0.0
Signature.26,0.0,0.0984685330953
Signature.27,0.0,0.0
Signature.28,0.0562546123628,0.0
Signature.29,0.155128011613,0.0
Signature.30,0.0604180445838,0.0
