,1:2:7,3,5:4:6
Signature.1,0.0944630362418,0.118680895383,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.194273584214,0.0241354448696
Signature.4,0.0159110749851,0.0,0.0335539309503
Signature.5,0.0,0.0,0.0146177438714
Signature.6,0.0948913472137,0.0,0.0
Signature.7,0.0,0.0586472100157,0.0250918262145
Signature.8,0.0,0.0,0.0
Signature.9,0.136647554306,0.119176457088,0.0561864377905
Signature.10,0.052323164649,0.0,0.0
Signature.11,0.0,0.0175564857193,0.0
Signature.12,0.0,0.0840684634757,0.10441458451
Signature.13,0.0,0.0,0.0120640942084
Signature.14,0.0205229310391,0.0,0.0907859270681
Signature.15,0.0,0.0130980899806,0.0
Signature.16,0.0159219578337,0.0431198590402,0.399126488407
Signature.17,0.0493249010617,0.0642255323159,0.0803832500162
Signature.18,0.0,0.0,0.0
Signature.19,0.0772784875639,0.0395375705315,0.0
Signature.20,0.0223250152926,0.0,0.0191159790545
Signature.21,0.0577167101841,0.127281069729,0.0
Signature.22,0.0,0.0280666740482,0.0339259321104
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.285193672563,0.0,0.0
Signature.26,0.0,0.0,0.0196991870384
Signature.27,0.0,0.0,0.0
Signature.28,0.0642164402194,0.0728054904806,0.0
Signature.29,0.0132637068469,0.019462617978,0.0
Signature.30,0.0,0.0,0.0868991738901
