,11:10:1:2:5:7:6:9:8,3:4
Signature.1,0.214348539532,0.0
Signature.2,0.0296084754364,0.0
Signature.3,0.0,0.0170500178652
Signature.4,0.0,0.0
Signature.5,0.0167547474587,0.0
Signature.6,0.0673619639287,0.0
Signature.7,0.130387318652,0.239353057881
Signature.8,0.131722823244,0.0
Signature.9,0.0,0.289931455553
Signature.10,0.0,0.0
Signature.11,0.0,0.0162308478709
Signature.12,0.025857229324,0.0
Signature.13,0.0,0.0745051584662
Signature.14,0.0201993664237,0.0
Signature.15,0.0108367949944,0.0
Signature.16,0.0,0.0
Signature.17,0.0289273302696,0.0112582532903
Signature.18,0.0409751891136,0.0
Signature.19,0.0,0.0117259628675
Signature.20,0.0,0.0
Signature.21,0.0,0.0618962672622
Signature.22,0.0721109262141,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.106967934465
Signature.25,0.0344595155801,0.0443024126654
Signature.26,0.0,0.0150053746127
Signature.27,0.031312702218,0.0
Signature.28,0.0,0.0700025147932
Signature.29,0.0976734764027,0.0
Signature.30,0.0474636012081,0.0417707424078
