,11:1:3:5:4:9:8,10,2,7:6
Signature.1,0.0503068843505,0.262145196521,0.0,0.0222919881485
Signature.2,0.0302708719107,0.0940503116698,0.0193131259871,0.0327669120269
Signature.3,0.0936717920813,0.027160600818,0.0,0.0651091294583
Signature.4,0.0541727714741,0.0155523689083,0.0699705762196,0.0
Signature.5,0.0149002296104,0.0,0.0,0.0
Signature.6,0.0,0.0136591729969,0.10154150169,0.0
Signature.7,0.0194063716571,0.0425501116598,0.0,0.0187273641777
Signature.8,0.0982022785994,0.0,0.0,0.0
Signature.9,0.200117394702,0.034084370165,0.0,0.0
Signature.10,0.0,0.0319394050688,0.0,0.0629807253624
Signature.11,0.0,0.0,0.0168779363514,0.0184806424682
Signature.12,0.0,0.0728966641594,0.0,0.0119690812441
Signature.13,0.0,0.0,0.0,0.0472456937827
Signature.14,0.0,0.0,0.121475642889,0.0
Signature.15,0.0,0.0323370342615,0.0776336292487,0.102810475485
Signature.16,0.0179132895812,0.0,0.0,0.217614508695
Signature.17,0.0181425692443,0.0,0.0296749648074,0.086684062717
Signature.18,0.213518005183,0.0,0.205927139989,0.0534933982695
Signature.19,0.0,0.0,0.0,0.0517064921848
Signature.20,0.0,0.0,0.0,0.107786758925
Signature.21,0.0,0.0,0.0,0.100332767056
Signature.22,0.0,0.0117174961102,0.0,0.0
Signature.23,0.0,0.089756057295,0.0,0.0
Signature.24,0.109685645174,0.0122894165489,0.138876820467,0.0
Signature.25,0.0253555639522,0.0,0.201064270268,0.0
Signature.26,0.0223900830441,0.107608589677,0.0176443920831,0.0
Signature.27,0.0319462494358,0.0349373857457,0.0,0.0
Signature.28,0.0,0.117315818394,0.0,0.0
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0,0.0,0.0,0.0
