,1:3:2
Signature.1,0.0
Signature.2,0.119899481451
Signature.3,0.0
Signature.4,0.177673609252
Signature.5,0.0211264042708
Signature.6,0.0366527025163
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0117352845586
Signature.10,0.0
Signature.11,0.0296257161618
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.134385399406
Signature.16,0.0119376193408
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0430790151593
Signature.21,0.0427934158822
Signature.22,0.0
Signature.23,0.016033602088
Signature.24,0.22208116282
Signature.25,0.0403245311389
Signature.26,0.0
Signature.27,0.0726185390051
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0200335169489
