,11:1:3:2:4:6:9:8,10,5,7
Signature.1,0.0,0.0,0.0225794858175,0.21271881483
Signature.2,0.0,0.0,0.0450642008606,0.0157048643906
Signature.3,0.123948940388,0.0483984946349,0.0334413683031,0.020134805471
Signature.4,0.0,0.0335912789705,0.0400051671887,0.032659159659
Signature.5,0.122231418423,0.0,0.0,0.0
Signature.6,0.0172679494431,0.200680691264,0.0,0.0
Signature.7,0.0,0.0,0.135478611963,0.0449882715701
Signature.8,0.0,0.0535155075061,0.0,0.12137057165
Signature.9,0.0951894075468,0.0,0.0,0.0
Signature.10,0.0,0.0,0.0,0.0731193135385
Signature.11,0.0163115580052,0.0,0.0,0.0
Signature.12,0.0433470690068,0.0,0.0,0.0
Signature.13,0.0755837170733,0.0,0.0,0.0
Signature.14,0.0,0.0470289706414,0.013597212572,0.0
Signature.15,0.0,0.0,0.0286957749106,0.0170027817684
Signature.16,0.0,0.0258864543059,0.0955396156876,0.0399492523962
Signature.17,0.0622563928008,0.0,0.0,0.0
Signature.18,0.124380939635,0.0,0.0,0.0134381481139
Signature.19,0.0,0.0659923565808,0.010433988748,0.0
Signature.20,0.0511999392416,0.0,0.115478590987,0.0
Signature.21,0.0,0.0,0.0,0.26519815485
Signature.22,0.0,0.0149314019805,0.0222346736262,0.0
Signature.23,0.0,0.0,0.0588441161131,0.0
Signature.24,0.0,0.146209412903,0.0,0.0
Signature.25,0.0641413305228,0.0488848855739,0.0218445746157,0.0
Signature.26,0.0,0.17222540951,0.334918741324,0.0861863819828
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0,0.0653830651252,0.011280294584,0.0153865472231
Signature.29,0.0363109099208,0.0,0.0,0.0421429325566
Signature.30,0.167830427992,0.0772720710031,0.0105635826983,0.0
