,11:9:10,1:3:2:5:4:7:6,8
Signature.1,0.103579925252,0.0,0.092800592626
Signature.2,0.0,0.230567343414,0.0
Signature.3,0.0,0.0222063964176,0.0
Signature.4,0.0630795549493,0.0403302811595,0.0170708299324
Signature.5,0.0150366059442,0.0,0.0
Signature.6,0.0180087940359,0.0178990075363,0.0
Signature.7,0.13405612325,0.100736351148,0.18420906525
Signature.8,0.0,0.0,0.0
Signature.9,0.0601253136001,0.0,0.0146778336398
Signature.10,0.0669722026578,0.0674578221387,0.0668582683157
Signature.11,0.0730705933529,0.0141848092028,0.122004545218
Signature.12,0.0517382934859,0.0110880732743,0.0
Signature.13,0.0,0.0,0.0
Signature.14,0.0,0.0129878550043,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0831728656202
Signature.17,0.0240360886401,0.0,0.0726334591657
Signature.18,0.0145653120573,0.0,0.0136225359999
Signature.19,0.0,0.0,0.0819300953247
Signature.20,0.27110096526,0.133182983188,0.02511962858
Signature.21,0.0105334411185,0.0,0.0895784486033
Signature.22,0.0483158097569,0.0,0.0
Signature.23,0.0,0.0,0.069580653475
Signature.24,0.0331881679266,0.0,0.0260833190492
Signature.25,0.0,0.239634800312,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0,0.0406578592003
Signature.28,0.0,0.0,0.0
Signature.29,0.0,0.109724277205,0.0
Signature.30,0.0125928087126,0.0,0.0
