,11:9:10,1:3:5:4:6:8,2,7
Signature.1,0.0,0.0,0.0,0.0318168925122
Signature.2,0.0,0.0447983682309,0.0,0.0
Signature.3,0.024093531248,0.0,0.0,0.0435543988797
Signature.4,0.0,0.0,0.0,0.189632010191
Signature.5,0.0,0.0,0.0,0.0228681576211
Signature.6,0.0164708732708,0.0316286202385,0.150760046897,0.0
Signature.7,0.0164322279237,0.0,0.0,0.0
Signature.8,0.0,0.0830830133247,0.0,0.0
Signature.9,0.0181275981856,0.0909638735597,0.0,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.17940669051,0.0,0.0,0.0
Signature.12,0.0,0.0107024749381,0.0,0.268897240104
Signature.13,0.0,0.133903608277,0.0,0.0
Signature.14,0.0,0.0,0.0220704661046,0.0650658282202
Signature.15,0.0,0.0760941353799,0.0,0.0912902580186
Signature.16,0.0,0.0,0.0661166322078,0.0351660470088
Signature.17,0.0112296442536,0.0463154965513,0.0,0.103754467703
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0,0.0,0.0674577497684,0.0
Signature.20,0.0,0.162936158354,0.062517734716,0.0341156922064
Signature.21,0.170339094935,0.0,0.0806105096978,0.0
Signature.22,0.0,0.101195692628,0.0,0.0
Signature.23,0.0,0.123635213491,0.0,0.0
Signature.24,0.0318104027324,0.0,0.0,0.0408692149002
Signature.25,0.013007030913,0.0369447895954,0.0,0.0
Signature.26,0.0956768045886,0.0,0.0,0.0729697926352
Signature.27,0.33306973526,0.0,0.0448835918223,0.0
Signature.28,0.0,0.0,0.490841193867,0.0
Signature.29,0.0490830157084,0.0,0.0147420749194,0.0
Signature.30,0.0412533504715,0.0577985554315,0.0,0.0
