,1:3:5:4:9:8,2,7:6
Signature.1,0.0,0.0,0.0131943607646
Signature.2,0.139209017724,0.0,0.0820117498059
Signature.3,0.0301408742712,0.0,0.0
Signature.4,0.0153139168484,0.0,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0420762093066,0.0
Signature.7,0.0,0.0151917415656,0.0233331570789
Signature.8,0.0,0.0,0.0176751687351
Signature.9,0.0,0.0107580673501,0.0
Signature.10,0.0,0.0,0.0
Signature.11,0.0475596499446,0.0,0.0
Signature.12,0.0,0.0,0.0
Signature.13,0.0,0.0594764871862,0.0
Signature.14,0.0374292572368,0.024915350605,0.126072045601
Signature.15,0.0,0.100656138429,0.0
Signature.16,0.131663097965,0.0,0.0
Signature.17,0.0,0.24307409102,0.0
Signature.18,0.0,0.103040446327,0.367849578804
Signature.19,0.0183665179767,0.0373764126405,0.0
Signature.20,0.0,0.0,0.0187266462401
Signature.21,0.0,0.0,0.132455383677
Signature.22,0.0,0.0210807505344,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0989260628806,0.0569428048066,0.0140423966251
Signature.25,0.0,0.0301827413433,0.0193553335511
Signature.26,0.0,0.0,0.0
Signature.27,0.0170861509553,0.0,0.0
Signature.28,0.402764901594,0.0382417206207,0.011100587475
Signature.29,0.0615405526034,0.0,0.0
Signature.30,0.0,0.216987038265,0.174183591642
