,1:9:4:7:8,3,2,5:6
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0429924891181,0.0,0.0,0.0
Signature.4,0.0,0.0408040235326,0.121441207854,0.281495743803
Signature.5,0.0375481452313,0.0,0.0,0.0488025891367
Signature.6,0.081857363753,0.0,0.0178164096178,0.0490775724239
Signature.7,0.0612009041284,0.0,0.0,0.0161469534663
Signature.8,0.0,0.045802431654,0.0,0.0194359798431
Signature.9,0.0,0.0,0.100764302656,0.128174234669
Signature.10,0.146608506383,0.0199778623557,0.0914240526743,0.0810224793596
Signature.11,0.0,0.0,0.0971040401605,0.0
Signature.12,0.0,0.0699978479159,0.0530756892648,0.0240883638802
Signature.13,0.189678580031,0.0,0.0,0.0
Signature.14,0.0172781483981,0.0,0.0212802557425,0.0
Signature.15,0.0188079485193,0.0882137543947,0.0,0.0
Signature.16,0.0194490641381,0.239016512014,0.0409966703498,0.0
Signature.17,0.0,0.0184585345878,0.0,0.0214772620872
Signature.18,0.0,0.0159838115849,0.0482064982045,0.0
Signature.19,0.0123807573647,0.0,0.0,0.0
Signature.20,0.0122662020794,0.0119894268516,0.0270399458012,0.0
Signature.21,0.267588507295,0.0516812885997,0.0,0.0588430523119
Signature.22,0.0,0.197363497902,0.0129992618747,0.0
Signature.23,0.0,0.0,0.0223106138186,0.0313180127898
Signature.24,0.0122674682862,0.0,0.0751892993064,0.240117756229
Signature.25,0.0162748608268,0.0,0.0,0.0
Signature.26,0.0361869863119,0.0378806296116,0.243816792347,0.0
Signature.27,0.013168015028,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0,0.0
Signature.29,0.014446053108,0.0,0.0,0.0
Signature.30,0.0,0.162830378996,0.0265349603282,0.0
