,1:2,3
Signature.1,0.0849060596653,0.190780159949
Signature.2,0.0,0.0179024754572
Signature.3,0.0,0.0
Signature.4,0.032115750151,0.0
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.0828200249885
Signature.8,0.0,0.0
Signature.9,0.179298135393,0.0
Signature.10,0.0,0.121987189999
Signature.11,0.0,0.221165077214
Signature.12,0.0218510228336,0.0
Signature.13,0.0172649968688,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.012773330967
Signature.16,0.0233394027636,0.0
Signature.17,0.0115516194387,0.0133101839688
Signature.18,0.0570676452566,0.0
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.186184666824
Signature.22,0.0,0.0
Signature.23,0.0698878256868,0.053926450886
Signature.24,0.0345939212502,0.0
Signature.25,0.0,0.0662388807162
Signature.26,0.0,0.0
Signature.27,0.0,0.0
Signature.28,0.0,0.0329115590301
Signature.29,0.468123620693,0.0
Signature.30,0.0,0.0
