,1:3:2:5:4,7:6
Signature.1,0.0,0.0284450518648
Signature.2,0.0,0.344745630628
Signature.3,0.0,0.0153234464907
Signature.4,0.137963933271,0.0699089842062
Signature.5,0.0467783940771,0.0451792495017
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.1857021197,0.0173407228165
Signature.9,0.0928067023253,0.0661637045799
Signature.10,0.0724060639725,0.0
Signature.11,0.0,0.0
Signature.12,0.0,0.0
Signature.13,0.0215474831268,0.0133037632581
Signature.14,0.0,0.0193830443874
Signature.15,0.0,0.0
Signature.16,0.0232169893082,0.0
Signature.17,0.0,0.0538572541653
Signature.18,0.0,0.0
Signature.19,0.0,0.0
Signature.20,0.0,0.0310584240638
Signature.21,0.0,0.0
Signature.22,0.282923353837,0.0552366405837
Signature.23,0.0696935057826,0.0138218336641
Signature.24,0.0142915628631,0.0
Signature.25,0.0130963853412,0.0
Signature.26,0.0,0.0
Signature.27,0.018141353854,0.0
Signature.28,0.0214321525411,0.123436015669
Signature.29,0.0,0.102796234121
Signature.30,0.0,0.0
