,1:3:2
Signature.1,0.170531809761
Signature.2,0.0
Signature.3,0.238464931153
Signature.4,0.0
Signature.5,0.0889947688138
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.100525702389
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0529620226056
Signature.14,0.0742485332361
Signature.15,0.0
Signature.16,0.011575706374
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0354564449893
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0216694804367
Signature.27,0.0696940725186
Signature.28,0.0
Signature.29,0.135876527723
Signature.30,0.0
