,1:3:2:4:6,5,7
Signature.1,0.0644997238254,0.0,0.0410919771805
Signature.2,0.0340254137268,0.0275154091888,0.0
Signature.3,0.0381812443058,0.0,0.0
Signature.4,0.0473278577435,0.0956593014345,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0396304951026,0.0,0.152446306354
Signature.7,0.0,0.0,0.0
Signature.8,0.0295570276957,0.0,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0,0.150535447736
Signature.11,0.0,0.0,0.0
Signature.12,0.0381481899265,0.278687266289,0.102165865114
Signature.13,0.0,0.100644333073,0.0
Signature.14,0.0141731675378,0.020212569855,0.0505455174437
Signature.15,0.0,0.10042394825,0.0
Signature.16,0.0592926730382,0.0,0.0
Signature.17,0.0169073612683,0.0336568763634,0.0
Signature.18,0.0,0.244124113071,0.0558916691724
Signature.19,0.105116537061,0.0305924996312,0.0339446869512
Signature.20,0.0,0.0,0.0
Signature.21,0.0,0.0,0.262710903258
Signature.22,0.0132475784115,0.0,0.0371505033148
Signature.23,0.129270091018,0.0,0.0174050353441
Signature.24,0.0717245845202,0.0,0.0
Signature.25,0.145754593803,0.0,0.0
Signature.26,0.0305093710003,0.0684836828435,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0469732783662,0.0,0.0
Signature.29,0.075660811649,0.0,0.0
Signature.30,0.0,0.0,0.0961120881307
