,1:3:4,2,5
Signature.1,0.0,0.0,0.106868787194
Signature.2,0.0,0.0127986231076,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.126894859993,0.0333189221132,0.0
Signature.7,0.048736601227,0.0429631039503,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0934339671926,0.0,0.0
Signature.10,0.0,0.0,0.0186696117109
Signature.11,0.146338962318,0.0,0.0449589535099
Signature.12,0.0,0.0268772854667,0.0
Signature.13,0.014224530111,0.0701559513898,0.0
Signature.14,0.116419875677,0.0460912675887,0.264524638066
Signature.15,0.0,0.105065650196,0.0199299625105
Signature.16,0.0,0.0106797715355,0.0
Signature.17,0.0,0.0,0.081378133536
Signature.18,0.0,0.3368144851,0.0
Signature.19,0.0,0.0,0.0233886095351
Signature.20,0.0,0.0,0.021545505377
Signature.21,0.0,0.0,0.0
Signature.22,0.127181548675,0.0,0.13319737706
Signature.23,0.067092029689,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.026335025098,0.0
Signature.26,0.0,0.074988755778,0.0433225845051
Signature.27,0.259677625117,0.0,0.0177897639302
Signature.28,0.0,0.0,0.0768602731428
Signature.29,0.0,0.0850410791143,0.03760702144
Signature.30,0.0,0.128870079562,0.109958778482
