,1:2,3:5:4
Signature.1,0.137311289495,0.0
Signature.2,0.0,0.0288973225297
Signature.3,0.0,0.0576551747581
Signature.4,0.0283653421098,0.0
Signature.5,0.0,0.0
Signature.6,0.0681165456159,0.07890083457
Signature.7,0.0,0.359040652663
Signature.8,0.0,0.0359731464832
Signature.9,0.0,0.0
Signature.10,0.0,0.0389033672376
Signature.11,0.145172633102,0.0121453530547
Signature.12,0.0,0.124516796832
Signature.13,0.0,0.0137652357431
Signature.14,0.0,0.0
Signature.15,0.0,0.0
Signature.16,0.0135218613009,0.0
Signature.17,0.0486836791964,0.0447353934422
Signature.18,0.0,0.0
Signature.19,0.0,0.0292304181071
Signature.20,0.13167833324,0.0
Signature.21,0.0137744611777,0.0
Signature.22,0.0,0.0386382805598
Signature.23,0.0,0.052185995779
Signature.24,0.0,0.0
Signature.25,0.31995385635,0.0
Signature.26,0.0461038294174,0.0
Signature.27,0.0,0.0
Signature.28,0.0172198077919,0.0
Signature.29,0.0300983612029,0.0424485208427
Signature.30,0.0,0.0429635073978
