,1:3:2:5:4:9,7,6,8
Signature.1,0.0604807134408,0.0147160509494,0.0143190892933,0.0
Signature.2,0.111225672224,0.0,0.192560987595,0.0
Signature.3,0.121791099425,0.139201605928,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0760452798366
Signature.5,0.0191251063177,0.0,0.0973007048471,0.0
Signature.6,0.0337002332507,0.0,0.010583576157,0.0156701906234
Signature.7,0.0,0.0428716426975,0.0249521332933,0.0153586383816
Signature.8,0.0345391150344,0.0,0.0,0.0
Signature.9,0.0744337613895,0.040593284346,0.0,0.0195256994817
Signature.10,0.0388335967754,0.100439270941,0.0,0.0
Signature.11,0.0840787112245,0.0,0.0,0.189059799645
Signature.12,0.0748188358672,0.0158806746875,0.0,0.0316288937245
Signature.13,0.0,0.0,0.0566688658386,0.0
Signature.14,0.147358525179,0.0322906486623,0.307585497561,0.0538059695213
Signature.15,0.0,0.0,0.0229932648698,0.0
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0,0.0135924368126
Signature.18,0.0,0.0,0.0162922889383,0.0
Signature.19,0.109143658792,0.0,0.0,0.193681016861
Signature.20,0.016060328146,0.0,0.0857626729419,0.0
Signature.21,0.0230311316078,0.300245909496,0.0281538765683,0.0173699886724
Signature.22,0.0,0.0,0.0,0.0406781682045
Signature.23,0.0255598528834,0.0216300785791,0.0,0.0411596956908
Signature.24,0.0,0.0,0.0,0.250006305432
Signature.25,0.0,0.0,0.101099766755,0.0424179171121
Signature.26,0.0,0.0,0.029173848407,0.0
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0,0.166787940668,0.0125534269346,0.0
Signature.29,0.0258196584425,0.0,0.0,0.0
Signature.30,0.0,0.125342893045,0.0,0.0
