,1:3:2:7:6,5:4
Signature.1,0.0,0.0
Signature.2,0.0,0.0
Signature.3,0.032042017697,0.025968993906
Signature.4,0.0,0.0
Signature.5,0.0117796090331,0.0798361881225
Signature.6,0.0,0.0
Signature.7,0.0,0.0177037830835
Signature.8,0.059310845812,0.107277377714
Signature.9,0.0,0.0224962432125
Signature.10,0.19115167923,0.2795679149
Signature.11,0.152896721066,0.0126152095503
Signature.12,0.0,0.140696885008
Signature.13,0.0,0.0597490471027
Signature.14,0.0222903622981,0.0
Signature.15,0.0,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0
Signature.18,0.0439220860469,0.0150948260835
Signature.19,0.0355055555289,0.0
Signature.20,0.112066475243,0.0584399994874
Signature.21,0.0,0.0
Signature.22,0.0,0.0488179851923
Signature.23,0.0427924872938,0.0872900982122
Signature.24,0.0169782413631,0.0
Signature.25,0.0,0.0
Signature.26,0.0139116522525,0.0269898121942
Signature.27,0.0,0.0
Signature.28,0.050689196991,0.0
Signature.29,0.131077222858,0.0174556362312
Signature.30,0.0835858472871,0.0
