,1:3:2
Signature.1,0.0
Signature.2,0.113055005452
Signature.3,0.108417185975
Signature.4,0.0
Signature.5,0.11956164051
Signature.6,0.0
Signature.7,0.0113720350031
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0657244141586
Signature.12,0.0
Signature.13,0.0644967910749
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0599562765363
Signature.21,0.0411243308188
Signature.22,0.0402100446093
Signature.23,0.0270275230494
Signature.24,0.310632899012
Signature.25,0.0165004923213
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0219213614787
