,11,10:1:2:7:6:9:8,3:4,5
Signature.1,0.0226114712312,0.0124762471033,0.319287335362,0.0353169276539
Signature.2,0.0,0.0246897141779,0.0,0.0319127033195
Signature.3,0.0,0.112353026841,0.0,0.0
Signature.4,0.0115809536543,0.0,0.0601627986465,0.0676989911757
Signature.5,0.15485206139,0.0,0.0,0.0
Signature.6,0.0,0.327548867415,0.0,0.0128633220512
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0236988763463
Signature.9,0.0623683110706,0.0,0.014706604713,0.0
Signature.10,0.176396378806,0.131913001642,0.0,0.0240773781162
Signature.11,0.0126713707272,0.0,0.0,0.0
Signature.12,0.103292806457,0.0,0.238673131993,0.0
Signature.13,0.0,0.0,0.0,0.0159168933286
Signature.14,0.0,0.0839716550417,0.0419817289033,0.0868003722384
Signature.15,0.0,0.0,0.0,0.0349269011036
Signature.16,0.0,0.0,0.0444409462887,0.0
Signature.17,0.0,0.0,0.0,0.107912915651
Signature.18,0.0201628099636,0.0,0.0448544499977,0.0212084459726
Signature.19,0.0,0.0,0.0213585153349,0.0
Signature.20,0.162101848712,0.042144302037,0.0,0.0
Signature.21,0.0,0.0,0.117946409003,0.0683865038778
Signature.22,0.0,0.0,0.0,0.0
Signature.23,0.0,0.0257038614913,0.0,0.0
Signature.24,0.0789418997684,0.0732483334655,0.0171668708778,0.0269505066712
Signature.25,0.0,0.0,0.0,0.04554877299
Signature.26,0.0317802162501,0.0767847311102,0.0157059485743,0.258784118305
Signature.27,0.0,0.0,0.0,0.0669339214678
Signature.28,0.0214723340389,0.0296243404232,0.0,0.0710624497312
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.141767537931,0.0595419192521,0.0637152603061,0.0
