,1:8:2:9,3,5:4,7:6
Signature.1,0.0,0.0,0.13414413327,0.0
Signature.2,0.0,0.0573428197933,0.0184977956237,0.0
Signature.3,0.0115832381352,0.0,0.0,0.0970072278279
Signature.4,0.0470280457998,0.0,0.136836660898,0.0
Signature.5,0.013044783735,0.015285674744,0.0381553195669,0.0268888277113
Signature.6,0.0178132220467,0.0,0.0,0.0
Signature.7,0.0124768573202,0.0840971917306,0.0,0.0325392099157
Signature.8,0.433476578747,0.0,0.0221086713118,0.0
Signature.9,0.0976655670686,0.0150991808888,0.0,0.0376103452811
Signature.10,0.0221185068254,0.0,0.0,0.0615824103185
Signature.11,0.0140422453952,0.038208199414,0.0121008480779,0.0258171719389
Signature.12,0.0,0.106259666951,0.0565986345566,0.268338825241
Signature.13,0.0,0.0308414533924,0.0,0.0124938322098
Signature.14,0.0,0.113416589203,0.0,0.0
Signature.15,0.0,0.0,0.0277259259204,0.0
Signature.16,0.107216821381,0.0,0.0,0.0
Signature.17,0.0776021374568,0.0,0.0,0.0321022368643
Signature.18,0.0177023708967,0.0,0.131154778457,0.0
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0200007717915,0.0,0.0292698952084,0.0
Signature.21,0.0178563363316,0.0,0.0691469769583,0.0388475358604
Signature.22,0.0775438800806,0.282186338859,0.205548322551,0.0
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0293518998184,0.0166774280192
Signature.25,0.0,0.189083732435,0.0,0.256377145849
Signature.26,0.0,0.0429641903056,0.0,0.0
Signature.27,0.0,0.0,0.0407952372214,0.0
Signature.28,0.0,0.0,0.0348770097924,0.0
Signature.29,0.0,0.0252149622835,0.0136878907675,0.0614349904321
Signature.30,0.0128286369883,0.0,0.0,0.0322828125302
