,1:3:2
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0288997855904
Signature.6,0.0491766232521
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.17656906405
Signature.14,0.0571137470973
Signature.15,0.0272175909527
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0118712303385
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0795972365406
Signature.22,0.0
Signature.23,0.472536126124
Signature.24,0.0
Signature.25,0.0358981512243
Signature.26,0.0
Signature.27,0.0611204448299
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
