,1:2:7:6,3:4,5
Signature.1,0.0,0.0305979477916,0.316253495512
Signature.2,0.0,0.131620084435,0.0347660100342
Signature.3,0.0,0.0,0.0
Signature.4,0.164787245234,0.0,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0,0.045735406789
Signature.7,0.0332577660706,0.0166520558832,0.135927261611
Signature.8,0.0110274962731,0.0172001246485,0.0588347381669
Signature.9,0.115276043045,0.0539499283891,0.0
Signature.10,0.0693403737755,0.0,0.0200662443593
Signature.11,0.0692257295319,0.0,0.0
Signature.12,0.0,0.0759842234979,0.0172886062645
Signature.13,0.0,0.0,0.0
Signature.14,0.0,0.012726908657,0.0161424762161
Signature.15,0.121873230856,0.0,0.0
Signature.16,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.0,0.0,0.0
Signature.19,0.0,0.0676786731386,0.0
Signature.20,0.0236744459528,0.0,0.0
Signature.21,0.0946748233295,0.0,0.103837299396
Signature.22,0.0,0.0,0.0
Signature.23,0.257687944671,0.0,0.115778670615
Signature.24,0.0,0.0607453810682,0.0598011720888
Signature.25,0.0,0.0477774224073,0.0
Signature.26,0.0,0.0,0.0755686189472
Signature.27,0.0,0.159473188225,0.0
Signature.28,0.0,0.0,0.0
Signature.29,0.0391749012599,0.0,0.0
Signature.30,0.0,0.325594061859,0.0
