,11,10:1:3:2:5:4:6:9,7,8
Signature.1,0.0172651955998,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0505888753589,0.0238741114078
Signature.3,0.0,0.141825896244,0.013035690546,0.0
Signature.4,0.016479848555,0.0178181393316,0.0,0.0267142856459
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.0,0.0413605187793,0.0,0.0
Signature.7,0.0,0.0,0.0,0.0325004723158
Signature.8,0.414986422468,0.0,0.0312130768266,0.0
Signature.9,0.0,0.0,0.0123663940192,0.0
Signature.10,0.0592243702316,0.0841211557617,0.0171585049019,0.0946736582237
Signature.11,0.0179908804383,0.0,0.0,0.26471359761
Signature.12,0.0,0.0,0.0108127669616,0.0
Signature.13,0.036707435473,0.062401685686,0.0320079608586,0.0
Signature.14,0.0176216519843,0.220122240421,0.0,0.0
Signature.15,0.170282165682,0.0,0.0,0.197138810227
Signature.16,0.0853428553559,0.0,0.0226276881113,0.0883807540958
Signature.17,0.0,0.0375812534689,0.0,0.0828333003542
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0,0.0,0.0339396618326,0.0245908618333
Signature.20,0.0,0.0,0.0,0.0283799589269
Signature.21,0.0,0.0180948306786,0.0,0.0
Signature.22,0.0251488236789,0.0,0.183977061103,0.0
Signature.23,0.0,0.0367584096535,0.219159258464,0.0
Signature.24,0.0,0.0,0.0203886843716,0.125255907591
Signature.25,0.0,0.0132939097664,0.0380727376631,0.0
Signature.26,0.0,0.092960011359,0.0185092840005,0.0
Signature.27,0.0,0.0,0.0103370340471,0.0
Signature.28,0.122548051365,0.205303860106,0.0,0.0
Signature.29,0.0,0.0,0.285805320934,0.0109442817684
Signature.30,0.0164022991676,0.028358088744,0.0,0.0
