,1,3:5:4:7,2,6
Signature.1,0.0,0.0586814815329,0.0,0.0
Signature.2,0.0618546769889,0.0196550149982,0.0,0.347698781318
Signature.3,0.0,0.0280453627074,0.0,0.0
Signature.4,0.0364686651725,0.0556551734815,0.0,0.0553817060307
Signature.5,0.0,0.0,0.0,0.0124803869568
Signature.6,0.0697897006975,0.209355127406,0.0,0.0250230724423
Signature.7,0.169307077861,0.0,0.0,0.0
Signature.8,0.0837152070844,0.0231295487802,0.0687040322755,0.0612389082755
Signature.9,0.0,0.0684245124865,0.134416295823,0.0
Signature.10,0.0,0.0,0.0,0.057912337755
Signature.11,0.0886926203927,0.0830923486434,0.0319441206589,0.018948960777
Signature.12,0.0667193647106,0.01192611432,0.0,0.0
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0,0.0177183280517
Signature.15,0.0,0.100597720008,0.0,0.0
Signature.16,0.0,0.104577793899,0.0,0.0230291133194
Signature.17,0.0807333011053,0.0,0.135909523605,0.0389512810543
Signature.18,0.0490315639215,0.0274288621632,0.0,0.0
Signature.19,0.0341957317291,0.0,0.0,0.0
Signature.20,0.0,0.0367945164032,0.0,0.0
Signature.21,0.0414711398056,0.0,0.0,0.0
Signature.22,0.0710818879664,0.0,0.0389097033719,0.0414618562761
Signature.23,0.0251947870256,0.0192223999023,0.0,0.14564399542
Signature.24,0.0159980462611,0.0362427732538,0.0,0.0
Signature.25,0.0,0.0,0.131352471731,0.0176431441068
Signature.26,0.0319433861145,0.0,0.17457058603,0.067383091562
Signature.27,0.0,0.0,0.0,0.0558525787554
Signature.28,0.0326166978644,0.0,0.0699120181316,0.0136324578984
Signature.29,0.041186145299,0.0,0.214281248373,0.0
Signature.30,0.0,0.117171250014,0.0,0.0
