,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0600208607124
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.475426427723
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.116661300527
Signature.13,0.0
Signature.14,0.0
Signature.15,0.066979180227
Signature.16,0.0556271065989
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0445196198405
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0146587468256
Signature.24,0.0
Signature.25,0.0464663021122
Signature.26,0.0
Signature.27,0.0235871822605
Signature.28,0.0960532731736
Signature.29,0.0
Signature.30,0.0
