,1,3,2,5:4
Signature.1,0.0,0.0,0.0278705425697,0.0
Signature.2,0.0,0.0,0.0122102779952,0.0134837437111
Signature.3,0.0141902065674,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.0277049695809,0.0358137962033,0.064098581621,0.0
Signature.6,0.347257570127,0.0,0.142917968897,0.0113117715567
Signature.7,0.0,0.0,0.0,0.0123749856869
Signature.8,0.0,0.0695395624323,0.0,0.0
Signature.9,0.0,0.218169296005,0.0441627226493,0.0470790481304
Signature.10,0.0202876330548,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0143891647607,0.453937143959
Signature.13,0.0368601404432,0.0,0.0,0.0393889245615
Signature.14,0.141015514691,0.0,0.0,0.0
Signature.15,0.0143926331463,0.0,0.0212891013072,0.0
Signature.16,0.0,0.0,0.163149704609,0.0514715603445
Signature.17,0.0,0.0,0.0,0.0689563517776
Signature.18,0.0,0.0880286940281,0.118411126819,0.15048706229
Signature.19,0.0488031318398,0.0,0.0,0.0962431431799
Signature.20,0.0113755531003,0.0394290594568,0.0,0.0
Signature.21,0.0,0.0,0.255088454914,0.0
Signature.22,0.0251736011646,0.304837288526,0.0356686742827,0.0120349887315
Signature.23,0.0,0.0133233507017,0.0342952576402,0.0
Signature.24,0.0278679540319,0.0,0.0208204842153,0.0323403922919
Signature.25,0.0,0.048618226919,0.0,0.0
Signature.26,0.0,0.0,0.0,0.0
Signature.27,0.285071092253,0.0,0.0,0.0108908837792
Signature.28,0.0,0.0447291835217,0.0456279377196,0.0
Signature.29,0.0,0.137511542206,0.0,0.0
Signature.30,0.0,0.0,0.0,0.0
