,1:3:2
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0231122194366
Signature.8,0.0600591055035
Signature.9,0.189431221777
Signature.10,0.223225287724
Signature.11,0.0
Signature.12,0.0282418249539
Signature.13,0.071832415166
Signature.14,0.0105219132654
Signature.15,0.0
Signature.16,0.0
Signature.17,0.20499730414
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0391728728043
Signature.23,0.0743320897353
Signature.24,0.0
Signature.25,0.0204661666092
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0546075788854
Signature.29,0.0
Signature.30,0.0
