,1,3,2
Signature.1,0.0174136817495,0.0,0.0
Signature.2,0.0226635783908,0.0,0.100227840881
Signature.3,0.0,0.0,0.0731802036689
Signature.4,0.0,0.223380397256,0.0670123999009
Signature.5,0.0824355571074,0.0588704782032,0.0
Signature.6,0.0754317828253,0.0,0.0
Signature.7,0.0,0.0,0.0153291291424
Signature.8,0.0,0.0350044882848,0.0
Signature.9,0.205280948251,0.0,0.134932150127
Signature.10,0.0,0.0,0.036135723164
Signature.11,0.200315389642,0.0,0.0
Signature.12,0.0124500690801,0.0592479846894,0.0
Signature.13,0.0,0.0234654049313,0.0511517109871
Signature.14,0.0,0.0,0.0828921562966
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0248999964977
Signature.17,0.0,0.0207423092742,0.0
Signature.18,0.029011509047,0.071231281513,0.0
Signature.19,0.0,0.0,0.0
Signature.20,0.0,0.0494470129103,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0896705746944,0.0289360596341,0.0
Signature.23,0.0,0.0796614991051,0.0
Signature.24,0.0,0.0,0.0379989395994
Signature.25,0.0,0.350013084199,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0,0.0185105648975
Signature.28,0.2377182164,0.0,0.322694736942
Signature.29,0.027608692812,0.0,0.0
Signature.30,0.0,0.0,0.0350344478953
