,11,10:1:3:5:4:7:6:9,2,8
Signature.1,0.0730975309011,0.0,0.139668973071,0.0
Signature.2,0.0,0.0165165162684,0.195686920881,0.194214106769
Signature.3,0.0383657024214,0.0360218295966,0.0,0.071086512714
Signature.4,0.0,0.0,0.0224309232907,0.0
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.0625716713667,0.0,0.146106283466,0.0
Signature.7,0.0,0.0779287114631,0.0,0.065447658178
Signature.8,0.0154606397509,0.146711003096,0.0,0.0
Signature.9,0.0151363166361,0.0,0.0330764427372,0.0630985551685
Signature.10,0.0,0.0144529064745,0.080504737049,0.0141319391085
Signature.11,0.127396854579,0.030845312042,0.0,0.0155751151656
Signature.12,0.0,0.0149818813708,0.133499414446,0.0
Signature.13,0.0,0.0,0.0,0.0235790809634
Signature.14,0.0657333133572,0.0,0.0,0.0300603119862
Signature.15,0.0110378506035,0.0,0.0220474814383,0.0
Signature.16,0.0286238551016,0.0,0.0,0.0996198254575
Signature.17,0.172647849904,0.0925687421782,0.0,0.0
Signature.18,0.0357883824978,0.0541755198393,0.130032036975,0.0168646398135
Signature.19,0.0781723916826,0.0,0.0,0.0
Signature.20,0.0,0.147925302647,0.0,0.0
Signature.21,0.195241592731,0.0254050988033,0.0167371565887,0.0278901163615
Signature.22,0.0,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0,0.247537874015
Signature.24,0.0,0.0,0.0,0.102394089508
Signature.25,0.0173825912429,0.0,0.0,0.0159545977932
Signature.26,0.0,0.0120768968302,0.0,0.0125455769989
Signature.27,0.0229114040403,0.0901185785444,0.0,0.0
Signature.28,0.0,0.178768412384,0.0802096300564,0.0
Signature.29,0.0,0.0343073601562,0.0,0.0
Signature.30,0.0404320531836,0.0271959283055,0.0,0.0
