,11:9:10,1:3:2:5:4,7:6,8
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0237193043569,0.210090891011,0.332714481517,0.191670334926
Signature.3,0.0,0.0105686350037,0.0,0.0
Signature.4,0.0,0.0,0.0,0.147237474228
Signature.5,0.0,0.0258086398776,0.0741195486344,0.0165117037318
Signature.6,0.0117797473272,0.0,0.0183377116802,0.0303496383646
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0112737848947
Signature.9,0.0,0.0,0.0,0.0674634382922
Signature.10,0.0363628389651,0.0241725281649,0.105841338313,0.0
Signature.11,0.0,0.0,0.0504769810056,0.0205814797157
Signature.12,0.0,0.0208363602902,0.0,0.0
Signature.13,0.0,0.012063061538,0.0,0.0
Signature.14,0.0,0.0358549016254,0.025886801119,0.0
Signature.15,0.191869330609,0.0,0.0152337957259,0.0
Signature.16,0.0,0.0821444237344,0.0,0.0
Signature.17,0.0,0.0122541022607,0.0559581663556,0.0403011580786
Signature.18,0.0,0.011893757797,0.0,0.0
Signature.19,0.180944662603,0.0,0.0,0.0169285947438
Signature.20,0.18972910972,0.0,0.0,0.17833327762
Signature.21,0.0232989530558,0.0326333465978,0.0,0.0
Signature.22,0.0,0.0,0.031474903427,0.032420683756
Signature.23,0.0352826787878,0.0,0.0258590865257,0.0
Signature.24,0.0775418008489,0.17211066201,0.0,0.170444360277
Signature.25,0.137787545953,0.134227619394,0.192374113068,0.0
Signature.26,0.0751132578316,0.0703575774028,0.0,0.0
Signature.27,0.0,0.0,0.0,0.0122076167889
Signature.28,0.0,0.0299967320623,0.0,0.0
Signature.29,0.0,0.0,0.0,0.064276454583
Signature.30,0.0165707699417,0.11498676123,0.0717230726291,0.0
