,1:3:2
Signature.1,0.0
Signature.2,0.0358582981229
Signature.3,0.0968197824651
Signature.4,0.0
Signature.5,0.0321762557114
Signature.6,0.0
Signature.7,0.0291839156131
Signature.8,0.0206659492876
Signature.9,0.0369811302376
Signature.10,0.0122206391934
Signature.11,0.0290438485311
Signature.12,0.0
Signature.13,0.0
Signature.14,0.264510156811
Signature.15,0.0
Signature.16,0.0584768248863
Signature.17,0.0414250749676
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0402334307067
Signature.21,0.0
Signature.22,0.124392376289
Signature.23,0.0215177351676
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.144548517259
Signature.28,0.0
Signature.29,0.0119460647513
Signature.30,0.0
