,1:3:2:5:4:7:6
Signature.1,0.210382448564
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0120634688001
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0669266353316
Signature.9,0.0
Signature.10,0.0
Signature.11,0.014199074192
Signature.12,0.0
Signature.13,0.122658380447
Signature.14,0.0466592936029
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0638001895648
Signature.19,0.0182632653885
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0979520893481
Signature.26,0.13145167073
Signature.27,0.0268988411979
Signature.28,0.166520714781
Signature.29,0.0222239280515
Signature.30,0.0
