,1:3:2:5:4
Signature.1,0.0277329631025
Signature.2,0.0353256573448
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.192202143758
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0306387863857
Signature.11,0.0453954449436
Signature.12,0.0
Signature.13,0.0484515810598
Signature.14,0.165202005174
Signature.15,0.0514369187751
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0965248917557
Signature.19,0.0
Signature.20,0.0
Signature.21,0.012498539575
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0637731427431
Signature.26,0.183241742457
Signature.27,0.0342007464101
Signature.28,0.0
Signature.29,0.0133754365162
Signature.30,0.0
