,11:10:1:2:5:6:9,3:4,7,8
Signature.1,0.162547402484,0.0,0.0202881427939,0.0673454829566
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0184026873417,0.0178541257951,0.0,0.095881481641
Signature.4,0.359926254912,0.0168707072558,0.0499694364397,0.0
Signature.5,0.0,0.0651767379177,0.184262379503,0.0
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.205571454737,0.0,0.155922654988,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0,0.0441636236359,0.0105632143997,0.0259381703163
Signature.10,0.0,0.0862373152079,0.0181612706046,0.0
Signature.11,0.0,0.0199382616601,0.0191842350207,0.0267084633763
Signature.12,0.0,0.0,0.0292671254927,0.0
Signature.13,0.0,0.0,0.0,0.0268997054866
Signature.14,0.0313451638526,0.0,0.0,0.118339508339
Signature.15,0.0,0.0,0.0,0.194682301947
Signature.16,0.0,0.0211373539102,0.0,0.0
Signature.17,0.0,0.0122358823469,0.0,0.0
Signature.18,0.0,0.157667037957,0.0377753746058,0.0
Signature.19,0.0,0.016021756151,0.0,0.0
Signature.20,0.0,0.0,0.161950056588,0.0
Signature.21,0.0159930440509,0.0297118486206,0.0210553295607,0.0139577171578
Signature.22,0.0342935432163,0.0582716125875,0.0,0.0
Signature.23,0.0528083155885,0.0,0.016306345439,0.0973195675977
Signature.24,0.0105869172448,0.0,0.0964738630985,0.0883861333769
Signature.25,0.0711609644649,0.0,0.0,0.0
Signature.26,0.0,0.122491765032,0.0,0.0
Signature.27,0.0,0.0,0.0728143838055,0.213821916925
Signature.28,0.0124603539268,0.0,0.0,0.0
Signature.29,0.0,0.0266001589222,0.0774608531248,0.0134550580924
Signature.30,0.0249038981811,0.305621813001,0.0285453345354,0.0172644927874
