,1:3:2:5:4:6,9:8:7
Signature.1,0.0,0.0311670666969
Signature.2,0.0,0.0293262245733
Signature.3,0.0,0.0113590657621
Signature.4,0.0153443144642,0.0
Signature.5,0.0,0.026559835428
Signature.6,0.0,0.0
Signature.7,0.169329868181,0.0464175323724
Signature.8,0.0115864473287,0.0
Signature.9,0.0,0.0
Signature.10,0.0798321625983,0.0557954873418
Signature.11,0.0783965375276,0.0795755447901
Signature.12,0.0316729621346,0.0
Signature.13,0.0,0.0110331763148
Signature.14,0.0,0.0143954135226
Signature.15,0.0,0.0
Signature.16,0.0,0.0437683582664
Signature.17,0.0,0.0
Signature.18,0.272677354946,0.0258257487204
Signature.19,0.0,0.0770072225479
Signature.20,0.0,0.0142156026312
Signature.21,0.0,0.0
Signature.22,0.0,0.0228246247712
Signature.23,0.0133484953775,0.0
Signature.24,0.0,0.0
Signature.25,0.249860473947,0.160642129748
Signature.26,0.0,0.187467075883
Signature.27,0.0265879883869,0.0
Signature.28,0.0,0.0
Signature.29,0.0,0.118867712436
Signature.30,0.0513633951079,0.0437521781942
