,11:10:1:2:7:6:9,3:4,5,8
Signature.1,0.0,0.209277910109,0.145415110882,0.14460593152
Signature.2,0.0,0.0,0.0756197540097,0.0
Signature.3,0.0,0.0141212669663,0.0,0.0297147407681
Signature.4,0.0218603586107,0.03528371833,0.0510598289861,0.0
Signature.5,0.0,0.103103950722,0.0206131845006,0.0
Signature.6,0.0206545628323,0.0,0.0,0.19187603596
Signature.7,0.0932253027435,0.0209053447442,0.0726510393059,0.0
Signature.8,0.0129104860935,0.0204363025062,0.0773030784438,0.0
Signature.9,0.0,0.0,0.0,0.0564787903616
Signature.10,0.0298696224573,0.0244276984982,0.0425796923874,0.0
Signature.11,0.130386154747,0.0,0.0182184046531,0.0
Signature.12,0.0,0.0,0.0,0.054896370196
Signature.13,0.0,0.0,0.0549728078729,0.0435147206797
Signature.14,0.0,0.0,0.0,0.0165497824232
Signature.15,0.150234248155,0.0,0.0,0.0
Signature.16,0.0,0.0257011038161,0.0,0.0723614823503
Signature.17,0.0,0.0114445888092,0.0,0.0
Signature.18,0.0447130091541,0.0,0.0235900386184,0.110820409266
Signature.19,0.0,0.0411007516819,0.0208986826021,0.0
Signature.20,0.0429742334674,0.0,0.0172389504589,0.0777168724324
Signature.21,0.0285921902966,0.0,0.0,0.0
Signature.22,0.0669742887501,0.0,0.0464867380806,0.0
Signature.23,0.0,0.0,0.0,0.0381115090106
Signature.24,0.012918428298,0.167591600544,0.0,0.0
Signature.25,0.0,0.046042708835,0.0592707791509,0.0107464823997
Signature.26,0.145596343224,0.098793948925,0.0,0.0
Signature.27,0.0926496730676,0.140973629176,0.0156652374414,0.0
Signature.28,0.0503866480287,0.0,0.0,0.0705964604606
Signature.29,0.0311759046959,0.0407954763374,0.243266132698,0.0
Signature.30,0.0248785453788,0.0,0.0151505399087,0.0820104121719
