,1:8:3:9:4,2,5,7:6
Signature.1,0.0132946292614,0.0,0.0,0.018075528891
Signature.2,0.0,0.0,0.0127897718319,0.0287507241391
Signature.3,0.0,0.0975500638285,0.0,0.051281549253
Signature.4,0.0581725792587,0.0443951736658,0.0122173326523,0.0
Signature.5,0.0,0.0,0.0760283508778,0.286783957439
Signature.6,0.0,0.0564141733766,0.016356517909,0.017294835078
Signature.7,0.100127128896,0.0,0.0,0.0
Signature.8,0.0465386311658,0.0,0.0,0.0
Signature.9,0.0,0.0176127897308,0.102418923518,0.0291804924611
Signature.10,0.0,0.092362060802,0.0,0.0449503789121
Signature.11,0.0,0.0,0.0140120444152,0.0634228274437
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0,0.0110609251264,0.0523895064619,0.0
Signature.14,0.0230163455781,0.0301576252806,0.0110172948302,0.0179888692718
Signature.15,0.0,0.0,0.0318545184683,0.0
Signature.16,0.0709556053434,0.0,0.355782422276,0.0
Signature.17,0.0,0.023200836178,0.0169040048358,0.0
Signature.18,0.0,0.0,0.0,0.0246427420092
Signature.19,0.032593992241,0.0,0.0,0.0511141780898
Signature.20,0.0,0.0,0.0,0.0828988963439
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0922434927573,0.0,0.0,0.0
Signature.23,0.0282913212367,0.0,0.0252661300451,0.0
Signature.24,0.0,0.0,0.216384640096,0.0130898981824
Signature.25,0.276882681842,0.0,0.0,0.0
Signature.26,0.0622779744018,0.020270125462,0.0,0.0
Signature.27,0.0,0.0,0.0565785417831,0.0
Signature.28,0.14418304978,0.0,0.0,0.0945959703376
Signature.29,0.0,0.404384024824,0.0,0.0882373376426
Signature.30,0.0514225682379,0.202592201725,0.0,0.0876918145054
