,11:9:10,1:2:5:7:6,3:4,8
Signature.1,0.0,0.0272351814188,0.0,0.0387163431483
Signature.2,0.0180082790617,0.123991152989,0.0,0.0135185959329
Signature.3,0.095920255147,0.0,0.0,0.0
Signature.4,0.0,0.0,0.124166250707,0.0
Signature.5,0.0422254637963,0.0,0.0192493038154,0.0
Signature.6,0.0,0.0,0.0225286920976,0.0
Signature.7,0.0,0.0,0.0,0.0749147709548
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0,0.13518933939,0.107421823758,0.0546586503876
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.103083177314,0.0168357720134,0.0,0.132021737994
Signature.12,0.0,0.0,0.275551590327,0.0
Signature.13,0.0,0.135864292094,0.0,0.0
Signature.14,0.0,0.0514195720436,0.0,0.0
Signature.15,0.0,0.164820787224,0.0,0.0
Signature.16,0.0138706160754,0.0940370771268,0.0,0.123916872413
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0,0.0,0.0,0.145997312719
Signature.19,0.0397131166227,0.037849353453,0.146327970958,0.0107771738707
Signature.20,0.029294824799,0.0,0.0409153709761,0.0
Signature.21,0.128585046538,0.0440920791635,0.0,0.0
Signature.22,0.0111678969033,0.0,0.0150966357494,0.245106894442
Signature.23,0.191415743118,0.124163250478,0.0,0.0153312849106
Signature.24,0.0108583380135,0.0,0.0,0.0296599616565
Signature.25,0.0393421086837,0.0,0.0,0.0116445881813
Signature.26,0.0369955553749,0.0,0.0455697699085,0.0392086642116
Signature.27,0.224212717667,0.0,0.039915875539,0.0
Signature.28,0.0,0.0,0.0,0.0391888666245
Signature.29,0.0,0.044502142606,0.0,0.0253382825527
Signature.30,0.0153068608864,0.0,0.163256716164,0.0
