,11,9:10,1:3:2:5:4:7:6:8
Signature.1,0.0,0.0,0.0518127385237
Signature.2,0.0,0.0,0.0834543678133
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0116494746773,0.064473483016
Signature.5,0.0,0.0,0.13661370365
Signature.6,0.0,0.0177118937996,0.0302154302332
Signature.7,0.0,0.0,0.0241678180902
Signature.8,0.0,0.0,0.0245434666527
Signature.9,0.0755326929832,0.0709137645917,0.0
Signature.10,0.0,0.0,0.13521157429
Signature.11,0.278439531099,0.0,0.0198765160176
Signature.12,0.0,0.0,0.0516586033918
Signature.13,0.0,0.0,0.0
Signature.14,0.0920584362736,0.292254850356,0.0206810229431
Signature.15,0.0151039354818,0.0,0.0269089803169
Signature.16,0.0,0.0991879421817,0.0891074539108
Signature.17,0.114151357298,0.0,0.0170208500752
Signature.18,0.0,0.0,0.0
Signature.19,0.0255202961937,0.100039728322,0.0291904577667
Signature.20,0.0,0.0,0.0675501768019
Signature.21,0.0,0.0,0.0358937926342
Signature.22,0.0,0.0105813977432,0.0
Signature.23,0.0166364871633,0.0110961555959,0.0
Signature.24,0.0,0.104083378319,0.0
Signature.25,0.238135377898,0.192820176289,0.0
Signature.26,0.0292236675305,0.0,0.0
Signature.27,0.0786003141372,0.0192187777142,0.0627087257941
Signature.28,0.0365979039425,0.0288401699583,0.0
Signature.29,0.0,0.0416022904521,0.0
Signature.30,0.0,0.0,0.0289108380795
