,1:2:7:6,3:5:4
Signature.1,0.015872371686,0.0116004952209
Signature.2,0.0904576185187,0.0
Signature.3,0.0,0.0252033669264
Signature.4,0.0,0.236147400662
Signature.5,0.0201639677634,0.0120990953169
Signature.6,0.0,0.0
Signature.7,0.0,0.340784488854
Signature.8,0.0,0.0
Signature.9,0.124153093803,0.0823851692492
Signature.10,0.0,0.0
Signature.11,0.0,0.0
Signature.12,0.0852507713277,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.0597292104432
Signature.16,0.0,0.0
Signature.17,0.0,0.0208604335185
Signature.18,0.0,0.0
Signature.19,0.102729442737,0.0
Signature.20,0.069119573117,0.119298467761
Signature.21,0.0689455945197,0.0
Signature.22,0.0419140250261,0.0
Signature.23,0.105957279461,0.0
Signature.24,0.0,0.0
Signature.25,0.0,0.0294034932305
Signature.26,0.163257752931,0.0
Signature.27,0.0413949832378,0.0
Signature.28,0.0,0.0624883788171
Signature.29,0.0707835258716,0.0
Signature.30,0.0,0.0
