,1:3:2:5:7:6,4,9:8
Signature.1,0.0,0.0133386283234,0.0125516050814
Signature.2,0.0,0.0550358614953,0.0985752161955
Signature.3,0.0,0.0,0.0
Signature.4,0.0335350711141,0.0,0.04067857423
Signature.5,0.0,0.0,0.0
Signature.6,0.125342632904,0.0,0.0586844175477
Signature.7,0.0,0.0268848137773,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0514763517623,0.124414836218,0.0183130761623
Signature.10,0.0297080610581,0.102158691521,0.0176429845127
Signature.11,0.178662360336,0.0,0.0
Signature.12,0.408133719208,0.0,0.0
Signature.13,0.0408188076903,0.0,0.0
Signature.14,0.0217534330624,0.0,0.0648309254446
Signature.15,0.0,0.0,0.106817369099
Signature.16,0.0,0.26571525081,0.0
Signature.17,0.0,0.0,0.0388246033156
Signature.18,0.0,0.0870479707138,0.0236570394861
Signature.19,0.0214498349241,0.191686712079,0.0
Signature.20,0.0,0.0159556538165,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0,0.0563357700652,0.0165447177012
Signature.23,0.0,0.0104737869706,0.0
Signature.24,0.0350794048561,0.0,0.0
Signature.25,0.0,0.0309035273486,0.0
Signature.26,0.0,0.0,0.390873565738
Signature.27,0.0,0.0,0.0519081617831
Signature.28,0.0540403230844,0.0,0.0237812904318
Signature.29,0.0,0.0200484968612,0.0
Signature.30,0.0,0.0,0.0363164532713
