,1:3:2:6,5:4,7
Signature.1,0.0,0.184476028628,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.109359566002,0.0,0.0
Signature.4,0.0,0.0367780553166,0.0
Signature.5,0.0,0.133466679721,0.0
Signature.6,0.0992955148879,0.0,0.0252459175609
Signature.7,0.0,0.0,0.0132152492327
Signature.8,0.0,0.055018703773,0.0
Signature.9,0.0,0.0608981270167,0.0
Signature.10,0.0,0.0696161036684,0.0
Signature.11,0.205179521111,0.05803778073,0.0135734739751
Signature.12,0.0,0.0,0.0
Signature.13,0.0115556998348,0.0,0.0
Signature.14,0.0233218481818,0.0,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0987321327128
Signature.17,0.146913350025,0.0,0.0293520744333
Signature.18,0.0241421484508,0.051754810706,0.0931389063931
Signature.19,0.0,0.0,0.158571558079
Signature.20,0.0,0.0143336401049,0.0600531821457
Signature.21,0.0276016007719,0.0565170694824,0.0802561677695
Signature.22,0.0,0.0,0.0711103392038
Signature.23,0.0,0.0,0.0
Signature.24,0.043856149384,0.0673798534115,0.0225895413049
Signature.25,0.0262535299776,0.0962578580142,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.109344283087,0.0242867769631,0.156112705494
Signature.28,0.149154895794,0.0,0.178048751696
Signature.29,0.0,0.0791558420715,0.0
Signature.30,0.024021892492,0.0120226703921,0.0
