,1:3:2:5:4
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0516031394789
Signature.7,0.0279083598767
Signature.8,0.0
Signature.9,0.119683829821
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.179734492792
Signature.14,0.0852875392026
Signature.15,0.0223196085158
Signature.16,0.0815948898801
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.202089887035
Signature.24,0.0
Signature.25,0.0242831315623
Signature.26,0.0772754012021
Signature.27,0.0206766105037
Signature.28,0.0
Signature.29,0.107543110129
Signature.30,0.0
