,1:7:6,3:4,2,5
Signature.1,0.0,0.0,0.0318039684972,0.0
Signature.2,0.136668616065,0.0,0.0171446948021,0.0441875351428
Signature.3,0.0359455925812,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0143127429605,0.0
Signature.5,0.0,0.0850875805706,0.020782876625,0.106821089568
Signature.6,0.0125513855196,0.0,0.0302544022001,0.0612902895225
Signature.7,0.0914494285314,0.0,0.0333135794971,0.0320019377389
Signature.8,0.0,0.0548082396347,0.0,0.0
Signature.9,0.286282084565,0.243641243762,0.0,0.0353940964182
Signature.10,0.0,0.171037223132,0.0358172019266,0.0
Signature.11,0.0305085176287,0.0,0.0,0.0863829322824
Signature.12,0.125455624565,0.0276633157995,0.225982718427,0.0559221026577
Signature.13,0.0,0.0537894993326,0.0,0.0641684285325
Signature.14,0.0389348354192,0.0,0.0,0.0
Signature.15,0.0,0.0,0.141937973153,0.0
Signature.16,0.0,0.0382435142642,0.0,0.0110220362209
Signature.17,0.0205792264643,0.0279042318577,0.0,0.0
Signature.18,0.020435045844,0.0,0.0,0.0
Signature.19,0.045978818762,0.0932706026037,0.109715910181,0.0193453303423
Signature.20,0.0576464500016,0.0,0.0510066624992,0.0
Signature.21,0.0,0.0139809557364,0.0,0.0163735994462
Signature.22,0.0,0.0529091415327,0.0317966672583,0.0
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.086179012741,0.0,0.0212251431796,0.0
Signature.25,0.0113853613124,0.100969163363,0.07171989724,0.0210614565071
Signature.26,0.0,0.0,0.108142138311,0.203598255215
Signature.27,0.0,0.0366952884113,0.0183104969153,0.0
Signature.28,0.0,0.0,0.0,0.0709518205722
Signature.29,0.0,0.0,0.0367329263272,0.0601327692427
Signature.30,0.0,0.0,0.0,0.111346320591
