,1,3:2:4:7,5,6
Signature.1,0.0,0.0,0.0223160373634,0.0
Signature.2,0.0,0.0,0.0,0.0380578779424
Signature.3,0.0194337454319,0.118359704844,0.0267033080063,0.0
Signature.4,0.28040330163,0.0,0.0178759266262,0.0424025489545
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.0208184070128,0.101077030969,0.0,0.0213410054572
Signature.7,0.0720566650174,0.0,0.0340667889012,0.0
Signature.8,0.0107021629423,0.0,0.0282988121384,0.0
Signature.9,0.0,0.013175139628,0.0,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0,0.0565016641073
Signature.12,0.0193804471715,0.0,0.0973912862671,0.0
Signature.13,0.0,0.029765055538,0.0194999627789,0.0
Signature.14,0.0,0.23188307365,0.0250894356702,0.0
Signature.15,0.0,0.0,0.0157939743557,0.0334639465174
Signature.16,0.0,0.0685602070332,0.0404094880818,0.117037320672
Signature.17,0.0327148747307,0.0,0.298778158352,0.152420550088
Signature.18,0.0276209273627,0.0,0.0,0.0547141347441
Signature.19,0.0265970482273,0.0282865062802,0.0,0.0
Signature.20,0.0,0.0,0.0181222992353,0.185079433396
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0873724652896,0.113727005119,0.0,0.0
Signature.23,0.236659829269,0.051596060879,0.0,0.0
Signature.24,0.0,0.0,0.185883946768,0.0
Signature.25,0.103269615412,0.0,0.0104185860557,0.0171484949094
Signature.26,0.0,0.033053436016,0.0153194407073,0.0
Signature.27,0.0,0.0,0.0,0.281833023212
Signature.28,0.0629705105026,0.0393398954194,0.0,0.0
Signature.29,0.0,0.126202613301,0.0,0.0
Signature.30,0.0,0.044974271324,0.144032548693,0.0
