,11,10:1:3:2:5:4:7:6:9:8
Signature.1,0.0794470804887,0.0
Signature.2,0.0,0.0
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.283370280026,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.0325956363681,0.0631391698044
Signature.10,0.0210932738475,0.0
Signature.11,0.0107995185034,0.0
Signature.12,0.0,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.048164263498
Signature.16,0.0,0.0
Signature.17,0.0334059091792,0.0
Signature.18,0.160822418466,0.0890214942475
Signature.19,0.0,0.0198551587374
Signature.20,0.0441542719737,0.0
Signature.21,0.0,0.0
Signature.22,0.0,0.0
Signature.23,0.0,0.0136602313504
Signature.24,0.224251662902,0.0
Signature.25,0.0,0.40270790129
Signature.26,0.0,0.316237222966
Signature.27,0.0,0.0
Signature.28,0.0,0.0265657578685
Signature.29,0.110059948245,0.0
Signature.30,0.0,0.0206488002377
