,1:3:2
Signature.1,0.0913418309765
Signature.2,0.0140067594024
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0623176911323
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.044157645957
Signature.10,0.0
Signature.11,0.045589344141
Signature.12,0.114105082188
Signature.13,0.0432398165155
Signature.14,0.150022282763
Signature.15,0.0952819207652
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.210119889864
Signature.22,0.0
Signature.23,0.0288518062156
Signature.24,0.0882729325297
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.012692997549
Signature.29,0.0
Signature.30,0.0
