,1:3:2,5:4,7,6
Signature.1,0.0,0.0312833244579,0.0,0.01617110329
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0,0.149286456357,0.0,0.0
Signature.4,0.0314960315618,0.0,0.0,0.0
Signature.5,0.0,0.0,0.0,0.0112886543313
Signature.6,0.0319000927469,0.0,0.110654686895,0.212883928204
Signature.7,0.240746059437,0.0557441317276,0.0,0.0381141337977
Signature.8,0.112243976144,0.0425351944186,0.138037720779,0.0
Signature.9,0.0965959658291,0.0894986231898,0.0,0.350569010915
Signature.10,0.0,0.0559109424898,0.0,0.0
Signature.11,0.182946132647,0.0,0.131721355414,0.0363718589208
Signature.12,0.0305472840949,0.0,0.0,0.0
Signature.13,0.132829727643,0.0,0.0,0.0216205054384
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.0,0.155970776306,0.0,0.0120244788336
Signature.16,0.0174048811268,0.0726519603549,0.0529908219429,0.0618444814783
Signature.17,0.0112601915206,0.0296242383169,0.0119255082569,0.0
Signature.18,0.0,0.0,0.164281736126,0.0506134367987
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0,0.120008762354
Signature.21,0.0291832604626,0.0,0.019162509073,0.0
Signature.22,0.0,0.0,0.0,0.0344106230968
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0546284304237,0.0380590949395,0.0,0.0
Signature.25,0.0129343128568,0.0194440376307,0.0757205427671,0.0
Signature.26,0.0,0.0,0.0393347610845,0.0340790225411
Signature.27,0.0,0.0202160948077,0.0,0.0
Signature.28,0.0152836535052,0.239775125003,0.0,0.0
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0,0.0,0.256170357663,0.0
