,1:3:2:5:4:7:6
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0239958115443
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0208775670635
Signature.8,0.256251732146
Signature.9,0.0202770498916
Signature.10,0.0
Signature.11,0.0271402303472
Signature.12,0.0
Signature.13,0.0322906175888
Signature.14,0.0514537783525
Signature.15,0.200000743919
Signature.16,0.0
Signature.17,0.0792734285991
Signature.18,0.226008343629
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0427716117527
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0196590851654
Signature.29,0.0
Signature.30,0.0
