,1:3:2:4,5:7:6
Signature.1,0.0156222527971,0.159708484772
Signature.2,0.0,0.0
Signature.3,0.0,0.0
Signature.4,0.0161862440021,0.109181739421
Signature.5,0.178239361832,0.0
Signature.6,0.0,0.095339326206
Signature.7,0.0,0.0
Signature.8,0.0411806458473,0.0
Signature.9,0.0198050717957,0.0
Signature.10,0.0844894398805,0.0
Signature.11,0.0,0.0248376461666
Signature.12,0.0305694606993,0.12717228672
Signature.13,0.0364823946678,0.0
Signature.14,0.0724615207686,0.0551512228553
Signature.15,0.0589568977561,0.197493424275
Signature.16,0.0,0.0470524210865
Signature.17,0.0,0.0
Signature.18,0.0610952720363,0.0488266849146
Signature.19,0.0,0.0
Signature.20,0.221066500948,0.0
Signature.21,0.0,0.0118455641229
Signature.22,0.0,0.0732346444607
Signature.23,0.0517474140871,0.0
Signature.24,0.0185673054488,0.0
Signature.25,0.0,0.0
Signature.26,0.0,0.0230507487331
Signature.27,0.0,0.0271058062654
Signature.28,0.0,0.0
Signature.29,0.0460184755936,0.0
Signature.30,0.0475117418398,0.0
