,1,3:2,5,4
Signature.1,0.0,0.0,0.0,0.0817267981974
Signature.2,0.144351533187,0.0,0.103762044118,0.0
Signature.3,0.0,0.0132315671735,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0432020427392
Signature.5,0.0,0.111309130468,0.0366900075892,0.0312049514229
Signature.6,0.0370982373478,0.0367229314829,0.0186792958662,0.127396850272
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.143755619918,0.0,0.0,0.0348391557752
Signature.9,0.0309631245249,0.0,0.0196646424115,0.0456724577793
Signature.10,0.0491173957057,0.0403371784161,0.0354785817319,0.178372664391
Signature.11,0.0268320866012,0.0,0.0189126445409,0.0
Signature.12,0.0,0.0,0.215670600528,0.0764558476579
Signature.13,0.0,0.0,0.0414406322157,0.0
Signature.14,0.0,0.0529752997486,0.0,0.0483688693866
Signature.15,0.0,0.124096830951,0.0,0.0
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.0,0.114739440153,0.0
Signature.18,0.148743785433,0.0,0.0,0.096536456991
Signature.19,0.0,0.0570128434523,0.014286931581,0.0131180031983
Signature.20,0.0,0.0768789261889,0.0,0.0
Signature.21,0.0,0.0,0.0191464625559,0.018951850091
Signature.22,0.0111629388838,0.0,0.0446615230845,0.0459549487938
Signature.23,0.0,0.0,0.0,0.0252204786608
Signature.24,0.222437460187,0.0219363389818,0.132273327392,0.0
Signature.25,0.0,0.272814518127,0.0775758685045,0.0
Signature.26,0.0993021548059,0.143972895642,0.0392339015474,0.0223151701014
Signature.27,0.0,0.0333154174923,0.0677840961808,0.0
Signature.28,0.0,0.0,0.0,0.0
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0862356634063,0.0153961218743,0.0,0.110663454541
