,1:3:2:5:4
Signature.1,0.0479699577829
Signature.2,0.0356000975521
Signature.3,0.0
Signature.4,0.0215419327813
Signature.5,0.0248871615543
Signature.6,0.0714272847359
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0180339544522
Signature.10,0.0177021157941
Signature.11,0.161615743898
Signature.12,0.0
Signature.13,0.0178722436175
Signature.14,0.0176323731933
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0798120398849
Signature.22,0.0419176857387
Signature.23,0.0
Signature.24,0.0383161549556
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0411276018246
Signature.28,0.310292983465
Signature.29,0.0542506687693
Signature.30,0.0
