,1,3:2:5,4
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0381540064619,0.0
Signature.3,0.0,0.0,0.0211130151389
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0157148240955,0.0218492235408
Signature.6,0.118118414588,0.0,0.227772541195
Signature.7,0.0113813721483,0.0603986871894,0.196788961139
Signature.8,0.0843090534981,0.0,0.0516445523665
Signature.9,0.0,0.0,0.0140470531923
Signature.10,0.0,0.0,0.0
Signature.11,0.322739735954,0.0113092816766,0.0
Signature.12,0.0,0.0,0.0
Signature.13,0.0,0.0869380609861,0.0
Signature.14,0.0,0.0666691627356,0.039611467468
Signature.15,0.0,0.0782850910462,0.0
Signature.16,0.0143861166134,0.0273343413274,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.0864480294566,0.0403778611135,0.0
Signature.19,0.0,0.0109499795947,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.294518487031,0.0,0.0
Signature.22,0.0,0.0342845768513,0.0690895764746
Signature.23,0.0380611415066,0.124619004272,0.0472368568652
Signature.24,0.0,0.0191646944536,0.11646735216
Signature.25,0.0144120685691,0.0,0.0160756270324
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0313878414216,0.021375895429
Signature.28,0.0,0.325057846444,0.137227709989
Signature.29,0.0156255806341,0.0293547403311,0.0
Signature.30,0.0,0.0,0.0197001680089
