,1,3,2,5:4
Signature.1,0.0393130442359,0.0,0.0,0.0734184413232
Signature.2,0.0327485316319,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0161919639433
Signature.5,0.0448755511106,0.0150446569906,0.0221559560069,0.123694361455
Signature.6,0.0,0.19621142899,0.0160977022823,0.0
Signature.7,0.0,0.319559248507,0.0,0.0410092484086
Signature.8,0.0,0.0102184019249,0.0,0.0555549384617
Signature.9,0.0,0.0,0.0,0.322857427582
Signature.10,0.0,0.0532480450335,0.21923705278,0.0
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0283172794579,0.0796698716821,0.0550768254365,0.0361855882411
Signature.13,0.0,0.018496098955,0.0,0.141919324316
Signature.14,0.054751247927,0.0,0.0,0.0
Signature.15,0.0,0.0374849183421,0.0340523410805,0.112770185258
Signature.16,0.160764209129,0.0,0.0,0.0
Signature.17,0.142027138879,0.0,0.0218692267655,0.0
Signature.18,0.0350538057667,0.0391415151918,0.0,0.0
Signature.19,0.0753561618239,0.0172278647787,0.0967829468832,0.0
Signature.20,0.0564112630592,0.0,0.022878323029,0.0106867098446
Signature.21,0.0,0.0326236803755,0.0,0.0
Signature.22,0.0,0.0,0.38634961529,0.0
Signature.23,0.0178953144644,0.0,0.0,0.0
Signature.24,0.0371024268332,0.0,0.069705047389,0.0
Signature.25,0.098812025701,0.0,0.0,0.0
Signature.26,0.17657199998,0.0525008589423,0.0,0.0
Signature.27,0.0,0.0114188848138,0.0308792011146,0.0511096038604
Signature.28,0.0,0.0863537785171,0.0249157619429,0.0146022073066
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0,0.0308007469553,0.0,0.0
