,1:5:4:6,3:2,7
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0325371453428
Signature.3,0.016931976643,0.0,0.0
Signature.4,0.0,0.286546145769,0.0
Signature.5,0.0944087399311,0.0139762681539,0.153097394582
Signature.6,0.0,0.054212753615,0.103998498145
Signature.7,0.0461591815539,0.0,0.0294252155199
Signature.8,0.0106919041582,0.0306915294611,0.0
Signature.9,0.0,0.196815720031,0.0
Signature.10,0.0,0.12989459113,0.0
Signature.11,0.0,0.0513603359913,0.0
Signature.12,0.0,0.0,0.0977623726052
Signature.13,0.0,0.0,0.0120728844765
Signature.14,0.0,0.0,0.0688382024251
Signature.15,0.101591896242,0.0,0.0585483815972
Signature.16,0.0,0.0,0.0
Signature.17,0.0,0.0486999100154,0.0164359341386
Signature.18,0.0,0.0,0.0
Signature.19,0.0,0.0133306612554,0.0
Signature.20,0.124973347904,0.0,0.0
Signature.21,0.048156494175,0.0239415492913,0.0390050218516
Signature.22,0.208941949177,0.0318789899052,0.0126857866652
Signature.23,0.2887344599,0.0,0.0
Signature.24,0.0,0.0,0.0136580932477
Signature.25,0.0,0.0134536425641,0.0989607027727
Signature.26,0.0177024600672,0.0449112289387,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.0481029566267,0.0534663761741
Signature.29,0.0247547235458,0.0121837172519,0.209507990456
Signature.30,0.0169528667028,0.0,0.0
