,1:3:2:5:4:7:6
Signature.1,0.0907617149671
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0400591369939
Signature.5,0.0201493430085
Signature.6,0.279943642178
Signature.7,0.0114573877224
Signature.8,0.0579091694733
Signature.9,0.0326976575582
Signature.10,0.011322445709
Signature.11,0.0136485123199
Signature.12,0.0
Signature.13,0.0727413270439
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.185254398363
Signature.20,0.0287646951527
Signature.21,0.0
Signature.22,0.0224597960989
Signature.23,0.0228136968
Signature.24,0.110017076611
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
