,1,3:2,5,4
Signature.1,0.0,0.0173657605109,0.0307018775366,0.0
Signature.2,0.24273256195,0.0550990088722,0.0360209175356,0.0
Signature.3,0.0,0.466611108576,0.0126018761056,0.0
Signature.4,0.0,0.0,0.0,0.0473084255712
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.0,0.0,0.0271802323039,0.128552031825
Signature.7,0.0,0.0,0.0446020888685,0.0126373306092
Signature.8,0.0,0.0,0.0,0.044474972991
Signature.9,0.0,0.0656568901134,0.0,0.115626455604
Signature.10,0.0,0.0777507828278,0.0,0.26681577004
Signature.11,0.0208576496838,0.0381830055695,0.143609660424,0.0137876752389
Signature.12,0.191760471618,0.0,0.043958368066,0.0
Signature.13,0.0,0.0,0.030047231144,0.0
Signature.14,0.231229578822,0.0400531392096,0.0,0.0
Signature.15,0.0,0.0,0.0291102527173,0.0
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.139137877636,0.0,0.0239640801635
Signature.18,0.0,0.0,0.0,0.125136915039
Signature.19,0.0360688774079,0.067621733423,0.113085842006,0.0886271906269
Signature.20,0.0,0.0,0.266610830835,0.0
Signature.21,0.115857046237,0.0187771865967,0.0215270917693,0.0
Signature.22,0.0,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0,0.0121576232287
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.0,0.0,0.0535448909675,0.0232136320627
Signature.26,0.139028871316,0.0137435066641,0.0226928431824,0.0
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0224649429664,0.0,0.0,0.0
Signature.29,0.0,0.0,0.124705996537,0.0976978970001
Signature.30,0.0,0.0,0.0,0.0
