,1,3,2,5:4:7:6
Signature.1,0.0,0.0823510620803,0.0,0.0190139138178
Signature.2,0.0830269009861,0.0,0.0107945514982,0.074145320962
Signature.3,0.0112333875835,0.0,0.0205648105046,0.0106695694377
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.0479932346869,0.0,0.0,0.0
Signature.6,0.0,0.0,0.0131401341895,0.0
Signature.7,0.0,0.172605343129,0.0,0.0
Signature.8,0.0,0.0,0.116289867965,0.0
Signature.9,0.0,0.0,0.0,0.170907617636
Signature.10,0.0,0.0,0.0617538562898,0.048506451781
Signature.11,0.129365508947,0.0258929836431,0.0,0.0561595451164
Signature.12,0.0298594896752,0.0,0.230296324212,0.0
Signature.13,0.0,0.0,0.0235678245788,0.0150509727685
Signature.14,0.0,0.0150278143762,0.127337332999,0.0
Signature.15,0.0,0.193138115168,0.0121214799957,0.0
Signature.16,0.0380242416939,0.0,0.0,0.0
Signature.17,0.262243067413,0.0,0.0165814968565,0.0
Signature.18,0.0,0.0,0.0898848927119,0.0
Signature.19,0.0,0.0,0.0,0.0494427491994
Signature.20,0.0,0.160750257797,0.0137038021778,0.0412189086137
Signature.21,0.0233413050113,0.0548633478836,0.0122827884928,0.0
Signature.22,0.0810763713398,0.0,0.05559185402,0.393356315267
Signature.23,0.0,0.0,0.0300793675161,0.0
Signature.24,0.090498944666,0.0,0.118423874457,0.0
Signature.25,0.0,0.0,0.0118204614433,0.0
Signature.26,0.0,0.0,0.0,0.0
Signature.27,0.0118597250964,0.211030189963,0.0357652800914,0.0
Signature.28,0.179081547808,0.0106971967606,0.0,0.0
Signature.29,0.0,0.0310433525919,0.0,0.0466872848917
Signature.30,0.0123962750938,0.0426003366074,0.0,0.0748413505085
